objectid;Type;Type;Type;Statut;Localisation;Adresse;Adres;Code postal;Commune;Gemeente;Quartier;Wijk;Quartier / Wijk;Tarification;Tarieven;Pricing;Accessibilité PMR;Toegankelijkheid PBM;PRM accessibility;Catégorie;Categorie;Category;Heures d'ouverture;Gestionnaire;Beheerder;Managed by;Google Maps;Google Street View;Geo Point;Geo Shape
641;URINOIR;URINOIR;URINAL;Bestaand / Existant;;4, Place de la Chapelle;4, Kapellemarkt;1000;Bruxelles;Brussel;Pentagone;Vijfhoek;Pentagone / Vijfhoek;;;;;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=50.84150117815104%2C4.350080484724099;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84150117815104%2C4.350080484724099;50.8415011782, 4.3500804918;"{""coordinates"": [4.3500804918, 50.8415011782], ""type"": ""Point""}"
29;URINOIR;URINOIR;URINAL;Bestaand / Existant;;12, Place Sainte-Catherine;12, Sint-Katelijneplein;1000;Bruxelles;Brussel;Pentagone;Vijfhoek;Pentagone / Vijfhoek;;;;;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=50.85083710000128%2C4.348104929222157;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.85083710000128%2C4.348104929222157;50.8508371, 4.348104925;"{""coordinates"": [4.348104925, 50.8508371], ""type"": ""Point""}"
2;URINOIR;URINOIR;URINAL;Bestaand / Existant;;589, Avenue Louise;589, Louizalaan;1050;Bruxelles;Brussel;Louise;Louiza;Louise / Louiza;;;;;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=50.814505671190396%2C4.372146228968429;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.814505671190396%2C4.372146228968429;50.8145056712, 4.3721462247;"{""coordinates"": [4.3721462247, 50.8145056712], ""type"": ""Point""}"
3;URINOIR;URINOIR;URINAL;Bestaand / Existant;;13, Square Marguerite;13, Margaretasquare;1000;Bruxelles;Brussel;Nord-Est;Noord-Oost;Nord-Est / Noord-Oost;;;;;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=50.847166002696326%2C4.386744694310964;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.847166002696326%2C4.386744694310964;50.8471660027, 4.3867446901;"{""coordinates"": [4.3867446901, 50.8471660027], ""type"": ""Point""}"
64;URINOIR;URINOIR;URINAL;Bestaand / Existant;;99, Rue des Minimes;99, Minimenstraat;1000;Bruxelles;Brussel;Pentagone;Vijfhoek;Pentagone / Vijfhoek;;;;;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=50.837943010985335%2C4.351149921574824;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.837943010985335%2C4.351149921574824;50.837943011, 4.3511499173;"{""coordinates"": [4.3511499173, 50.837943011], ""type"": ""Point""}"
19;URINOIR;URINOIR;URINAL;Bestaand / Existant;;1, Avenue du Parc Royal;1, Koninklijk Parklaan;1020;Bruxelles;Brussel;Laeken;Laken;Laeken / Laken;;;;;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=50.87855100189051%2C4.35687428212115;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.87855100189051%2C4.35687428212115;50.8785510019, 4.3568742779;"{""coordinates"": [4.3568742779, 50.8785510019], ""type"": ""Point""}"
53;URINOIR;URINOIR;URINAL;Bestaand / Existant;;17, Rue des Ursulines;17, Ursulinenstraat;1000;Bruxelles;Brussel;Pentagone;Vijfhoek;Pentagone / Vijfhoek;;;;;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=50.84127562883205%2C4.34775796918836;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84127562883205%2C4.34775796918836;50.8412756261, 4.3477579649;"{""coordinates"": [4.3477579649, 50.8412756261], ""type"": ""Point""}"
16;URINOIR;URINOIR;URINAL;Te vervangen / A remplacer;;8, Place du Nouveau Marché aux Grains;8, Nieuwe Graanmarkt;1000;Bruxelles;Brussel;Pentagone;Vijfhoek;Pentagone / Vijfhoek;;;;;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=50.8511318935659%2C4.344569971037791;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.8511318935659%2C4.344569971037791;50.8511318963, 4.3445699725;"{""coordinates"": [4.3445699725, 50.8511318963], ""type"": ""Point""}"
21;URINOIR;URINOIR;URINAL;Bestaand / Existant;;387, Rue des Palais Outre-Ponts;387, Paleizenstraat over de Bruggen;1020;Bruxelles;Brussel;Laeken;Laken;Laeken / Laken;;;;;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=50.87544184810089%2C4.360536432531936;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.87544184810089%2C4.360536432531936;50.8754418481, 4.3605364283;"{""coordinates"": [4.3605364283, 50.8754418481], ""type"": ""Point""}"
26;URINOIR;URINOIR;URINAL;Te verwijderen / A enlever;;11, Rue Pieremans;11, Pieremansstraat;1000;Bruxelles;Brussel;Pentagone;Vijfhoek;Pentagone / Vijfhoek;;;;;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=50.83598470482002%2C4.343841053284357;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.83598470482002%2C4.343841053284357;50.8359847048, 4.343841049;"{""coordinates"": [4.343841049, 50.8359847048], ""type"": ""Point""}"
