objectid;Statut;Status;Status;Gestionnaire;Beheerder;Manager;Réseau;Netwerk;Network;Catégorie;Categorie;Category;Type;Type;Type;type_concat_fr;type_concat_nl;type_concat_en;Heures d'ouverture;Accessibilité;Toegankelijkheid;Accessibility;Tarification;Tarieven;Pricing;Localisation;Locatie;Location;Adresse;Adres;Code postal;Commune;Gemeente;Quartier;Wijk;name_concat;address_concat_fr;address_concat_nl;Google Maps;Google Street View;Geo Point;Geo Shape
7043;Existant;Bestaand;Existing;Ville de Bruxelles;Stad Brussel;Ville de Bruxelles;réseau public;openbaar netwerk;public network;toilette publique;openbaar toilet;public toilet;toilette;toilet;toilet;toilette (réseau public / Ville de Bruxelles);toilet (openbaar netwerk / Stad Brussel);toilet (public network / Ville de Bruxelles);24/24;PMR;PBM;PRM;Gratuit;Gratis;Free;;;;;;1000;Bruxelles;Brussel;Pentagone;Vijfhoek;toilette PMR (réseau public) / PBM toilet (openbaar netwerk) / PRM toilet (public network);Pentagone -  - 1000 Bruxelles;Vijfhoek -  - 1000 Brussel;https://www.google.com/maps/search/?api=1&query=50.853981515733594%2C4.346756633191411;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.853981515733594%2C4.346756633191411;50.853981513, 4.3467566389;"{""coordinates"": [4.3467566389, 50.853981513], ""type"": ""Point""}"
3215;Existant;Bestaand;Existing;gestionnaire privé;privé beheerder;private manager;"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";toilette;toilet;toilet;"toilette (réseau ""toilettes accueillantes"" / gestionnaire privé)";"toilet (""gastvrije toiletten"" netwerk / privé beheerder)";"toilet (""accessible toilets"" network / private manager)";?;non PMR;niet PBM;not PRM;Gratuit;Gratis;Free;Mazette;Mazette;Mazette;;;1000;Bruxelles;Brussel;Pentagone;Vijfhoek;"toilette non PMR (réseau ""toilettes accueillantes"") / niet PBM toilet (""gastvrije toiletten"" netwerk) / not PRM toilet (""accessible toilets"" network)";Pentagone -  - 1000 Bruxelles;Vijfhoek -  - 1000 Brussel;https://www.google.com/maps/search/?api=1&query=50.83649060459709%2C4.345859031594704;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.83649060459709%2C4.345859031594704;50.8364906001, 4.3458590373;"{""coordinates"": [4.3458590373, 50.8364906001], ""type"": ""Point""}"
5442;Existant;Bestaand;Existing;gestionnaire privé;privé beheerder;private manager;"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";toilette;toilet;toilet;"toilette (réseau ""toilettes accueillantes"" / gestionnaire privé)";"toilet (""gastvrije toiletten"" netwerk / privé beheerder)";"toilet (""accessible toilets"" network / private manager)";?;non PMR;niet PBM;not PRM;Gratuit;Gratis;Free;DAMN GOOD CAFE;DAMN GOOD CAFE;DAMN GOOD CAFE;;;1000;Bruxelles;Brussel;Pentagone;Vijfhoek;"toilette non PMR (réseau ""toilettes accueillantes"") / niet PBM toilet (""gastvrije toiletten"" netwerk) / not PRM toilet (""accessible toilets"" network)";Pentagone -  - 1000 Bruxelles;Vijfhoek -  - 1000 Brussel;https://www.google.com/maps/search/?api=1&query=50.85568442500013%2C4.354121940109541;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.85568442500013%2C4.354121940109541;50.8556844295, 4.3541219444;"{""coordinates"": [4.3541219444, 50.8556844295], ""type"": ""Point""}"
3525;Existant;Bestaand;Existing;gestionnaire privé;privé beheerder;private manager;"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";toilette;toilet;toilet;"toilette (réseau ""toilettes accueillantes"" / gestionnaire privé)";"toilet (""gastvrije toiletten"" netwerk / privé beheerder)";"toilet (""accessible toilets"" network / private manager)";Lu-ve: 09-22, Sa:09-16;non PMR;niet PBM;not PRM;Gratuit;Gratis;Free;Box 120;Box 120;Box 120;;;1020;Bruxelles;Brussel;Laeken;Laken;"toilette non PMR (réseau ""toilettes accueillantes"") / niet PBM toilet (""gastvrije toiletten"" netwerk) / not PRM toilet (""accessible toilets"" network)";Laeken -  - 1020 Bruxelles;Laken -  - 1020 Brussel;https://www.google.com/maps/search/?api=1&query=50.87294443047426%2C4.345365869357566;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.87294443047426%2C4.345365869357566;50.872944426, 4.3453658623;"{""coordinates"": [4.3453658623, 50.872944426], ""type"": ""Point""}"
4482;Existant;Bestaand;Existing;STIB;MIVB;STIB;réseau public;openbaar netwerk;public network;toilette publique;openbaar toilet;public toilet;toilette;toilet;toilet;toilette (réseau public / STIB);toilet (openbaar netwerk / MIVB);toilet (public network / STIB);24/24;PMR;PBM;PRM;Payant;Betalend;Paying;;;;;;1120;Bruxelles;Brussel;Neder-Over-Heembeek/Mutsaard;Neder-Over-Heembeek/Mutsaard;toilette PMR (réseau public) / PBM toilet (openbaar netwerk) / PRM toilet (public network);Neder-Over-Heembeek/Mutsaard -  - 1120 Bruxelles;Neder-Over-Heembeek/Mutsaard -  - 1120 Brussel;https://www.google.com/maps/search/?api=1&query=50.88742332223847%2C4.3782776669254595;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.88742332223847%2C4.3782776669254595;50.8874233231, 4.3782776655;"{""coordinates"": [4.3782776655, 50.8874233231], ""type"": ""Point""}"
4486;Existant;Bestaand;Existing;gestionnaire privé;privé beheerder;private manager;"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";toilette;toilet;toilet;"toilette (réseau ""toilettes accueillantes"" / gestionnaire privé)";"toilet (""gastvrije toiletten"" netwerk / privé beheerder)";"toilet (""accessible toilets"" network / private manager)";LU-VE: 10-15 WE: 10-17;non PMR;niet PBM;not PRM;Gratuit;Gratis;Free;YUMMY BOWL;YUMMY BOWL;YUMMY BOWL;;;1000;Bruxelles;Brussel;Pentagone;Vijfhoek;"toilette non PMR (réseau ""toilettes accueillantes"") / niet PBM toilet (""gastvrije toiletten"" netwerk) / not PRM toilet (""accessible toilets"" network)";Pentagone -  - 1000 Bruxelles;Vijfhoek -  - 1000 Brussel;https://www.google.com/maps/search/?api=1&query=50.84535881717049%2C4.3533027330900325;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84535881717049%2C4.3533027330900325;50.8453588154, 4.353302726;"{""coordinates"": [4.353302726, 50.8453588154], ""type"": ""Point""}"
3527;Existant;Bestaand;Existing;Ville de Bruxelles;Stad Brussel;Ville de Bruxelles;réseau public;openbaar netwerk;public network;toilette publique;openbaar toilet;public toilet;toilette;toilet;toilet;toilette (réseau public / Ville de Bruxelles);toilet (openbaar netwerk / Stad Brussel);toilet (public network / Ville de Bruxelles);24/24;PMR;PBM;PRM;Gratuit;Gratis;Free;;;;;;1000;Bruxelles;Brussel;Nord-Est;Noord-Oost;toilette PMR (réseau public) / PBM toilet (openbaar netwerk) / PRM toilet (public network);Nord-Est -  - 1000 Bruxelles;Noord-Oost -  - 1000 Brussel;https://www.google.com/maps/search/?api=1&query=50.84717412851384%2C4.384969350438414;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84717412851384%2C4.384969350438414;50.8471741276, 4.3849693462;"{""coordinates"": [4.3849693462, 50.8471741276], ""type"": ""Point""}"
5446;Existant;Bestaand;Existing;gestionnaire privé;privé beheerder;private manager;"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";toilette;toilet;toilet;"toilette (réseau ""toilettes accueillantes"" / gestionnaire privé)";"toilet (""gastvrije toiletten"" netwerk / privé beheerder)";"toilet (""accessible toilets"" network / private manager)";Me:18-23, Je:18-1,Ve:18-3 Sa:12;non PMR;niet PBM;not PRM;Gratuit;Gratis;Free;The Sneakers Café;The Sneakers Café;The Sneakers Café;;;1000;Bruxelles;Brussel;Pentagone;Vijfhoek;"toilette non PMR (réseau ""toilettes accueillantes"") / niet PBM toilet (""gastvrije toiletten"" netwerk) / not PRM toilet (""accessible toilets"" network)";Pentagone -  - 1000 Bruxelles;Vijfhoek -  - 1000 Brussel;https://www.google.com/maps/search/?api=1&query=50.847636120772016%2C4.3531505494769025;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.847636120772016%2C4.3531505494769025;50.8476361208, 4.3531505537;"{""coordinates"": [4.3531505537, 50.8476361208], ""type"": ""Point""}"
7050;Existant;Bestaand;Existing;gestionnaire privé;privé beheerder;private manager;"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";toilette;toilet;toilet;"toilette (réseau ""toilettes accueillantes"" / gestionnaire privé)";"toilet (""gastvrije toiletten"" netwerk / privé beheerder)";"toilet (""accessible toilets"" network / private manager)";Lu:15-18, ma:9-13 me-je:14-18;?;?;?;?;;;Bibliothèque Haren;Bibliothèque Haren;Bibliothèque Haren;;;1130;Bruxelles;Brussel;Haren;Haren;"toilette ? (réseau ""toilettes accueillantes"") / ? toilet (""gastvrije toiletten"" netwerk) / ? toilet (""accessible toilets"" network)";Haren -  - 1130 Bruxelles;Haren -  - 1130 Brussel;https://www.google.com/maps/search/?api=1&query=50.8926070212211%2C4.420624894037761;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.8926070212211%2C4.420624894037761;50.8926070221, 4.4206249011;"{""coordinates"": [4.4206249011, 50.8926070221], ""type"": ""Point""}"
696;Existant;Bestaand;Existing;STIB;MIVB;STIB;réseau public;openbaar netwerk;public network;toilette publique;openbaar toilet;public toilet;toilette;toilet;toilet;toilette (réseau public / STIB);toilet (openbaar netwerk / MIVB);toilet (public network / STIB);Heures d'ouverture métro / Openingsuren metro;PMR;PBM;PRM;Payant;Betalend;Paying;arrêt de métro STIB / metrohalte MIVB;arrêt de métro STIB / metrohalte MIVB;arrêt de métro STIB / metrohalte MIVB;;;1000;Bruxelles;Brussel;Pentagone;Vijfhoek;toilette PMR (réseau public) / PBM toilet (openbaar netwerk) / PRM toilet (public network);Pentagone -  - 1000 Bruxelles;Vijfhoek -  - 1000 Brussel;https://www.google.com/maps/search/?api=1&query=50.84776737630606%2C4.348941103249441;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84776737630606%2C4.348941103249441;50.8477673772, 4.3489410976;"{""coordinates"": [4.3489410976, 50.8477673772], ""type"": ""Point""}"
