objectid;Statut;Status;Status;Gestionnaire;Beheerder;Manager;Réseau;Netwerk;Network;Catégorie;Categorie;Category;Type;Type;Type;type_concat_fr;type_concat_nl;type_concat_en;Heures d'ouverture;Accessibilité;Toegankelijkheid;Accessibility;Tarification;Tarieven;Pricing;Localisation;Locatie;Location;Adresse;Adres;Code postal;Commune;Gemeente;Quartier;Wijk;name_concat;address_concat_fr;address_concat_nl;Google Maps;Google Street View;Geo Point;Geo Shape
697;Existant;Bestaand;Existing;STIB;MIVB;STIB;réseau public;openbaar netwerk;public network;toilette publique;openbaar toilet;public toilet;toilette;toilet;toilet;toilette (réseau public / STIB);toilet (openbaar netwerk / MIVB);toilet (public network / STIB);Heures d'ouverture métro / Openingsuren metro;PMR;PBM;PRM;Payant;Betalend;Paying;arrêt de métro STIB / metrohalte MIVB;arrêt de métro STIB / metrohalte MIVB;arrêt de métro STIB / metrohalte MIVB;;;1000;Bruxelles;Brussel;Pentagone;Vijfhoek;toilette PMR (réseau public) / PBM toilet (openbaar netwerk) / PRM toilet (public network);Pentagone -  - 1000 Bruxelles;Vijfhoek -  - 1000 Brussel;https://www.google.com/maps/search/?api=1&query=50.84805719850546%2C4.349276525281051;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84805719850546%2C4.349276525281051;50.8480572012, 4.3492765267;"{""coordinates"": [4.3492765267, 50.8480572012], ""type"": ""Point""}"
3212;Existant;Bestaand;Existing;gestionnaire privé;privé beheerder;private manager;"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";toilette;toilet;toilet;"toilette (réseau ""toilettes accueillantes"" / gestionnaire privé)";"toilet (""gastvrije toiletten"" netwerk / privé beheerder)";"toilet (""accessible toilets"" network / private manager)";?;non PMR;niet PBM;not PRM;Gratuit;Gratis;Free;Les Brothers;Les Brothers;Les Brothers;;;1000;Bruxelles;Brussel;Pentagone;Vijfhoek;"toilette non PMR (réseau ""toilettes accueillantes"") / niet PBM toilet (""gastvrije toiletten"" netwerk) / not PRM toilet (""accessible toilets"" network)";Pentagone -  - 1000 Bruxelles;Vijfhoek -  - 1000 Brussel;https://www.google.com/maps/search/?api=1&query=50.84904767719568%2C4.338355652315704;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84904767719568%2C4.338355652315704;50.8490476745, 4.3383556537;"{""coordinates"": [4.3383556537, 50.8490476745], ""type"": ""Point""}"
4162;Existant;Bestaand;Existing;gestionnaire privé;privé beheerder;private manager;"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";toilette;toilet;toilet;"toilette (réseau ""toilettes accueillantes"" / gestionnaire privé)";"toilet (""gastvrije toiletten"" netwerk / privé beheerder)";"toilet (""accessible toilets"" network / private manager)";?;PMR;PBM;PRM;Gratuit;Gratis;Free;Maison de quartier Bockstael;Maison de quartier Bockstael;Maison de quartier Bockstael;;;1020;Bruxelles;Brussel;Laeken;Laken;"toilette PMR (réseau ""toilettes accueillantes"") / PBM toilet (""gastvrije toiletten"" netwerk) / PRM toilet (""accessible toilets"" network)";Laeken -  - 1020 Bruxelles;Laken -  - 1020 Brussel;https://www.google.com/maps/search/?api=1&query=50.87400674353961%2C4.352898746837728;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.87400674353961%2C4.352898746837728;50.8740067417, 4.3528987412;"{""coordinates"": [4.3528987412, 50.8740067417], ""type"": ""Point""}"
690;Existant;Bestaand;Existing;Ville de Bruxelles;Stad Brussel;Ville de Bruxelles;réseau public;openbaar netwerk;public network;toilette publique;openbaar toilet;public toilet;toilette;toilet;toilet;toilette (réseau public / Ville de Bruxelles);toilet (openbaar netwerk / Stad Brussel);toilet (public network / Ville de Bruxelles);24/24;PMR;PBM;PRM;Gratuit;Gratis;Free;;;;;;1020;Bruxelles;Brussel;Neder-Over-Heembeek/Mutsaard;Neder-Over-Heembeek/Mutsaard;toilette PMR (réseau public) / PBM toilet (openbaar netwerk) / PRM toilet (public network);Neder-Over-Heembeek/Mutsaard -  - 1020 Bruxelles;Neder-Over-Heembeek/Mutsaard -  - 1020 Brussel;https://www.google.com/maps/search/?api=1&query=50.8955592296356%2C4.357655195432722;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.8955592296356%2C4.357655195432722;50.8955592287, 4.3576551897;"{""coordinates"": [4.3576551897, 50.8955592287], ""type"": ""Point""}"
7044;Existant;Bestaand;Existing;Ville de Bruxelles;Stad Brussel;Ville de Bruxelles;réseau public;openbaar netwerk;public network;toilette publique;openbaar toilet;public toilet;toilette;toilet;toilet;toilette (réseau public / Ville de Bruxelles);toilet (openbaar netwerk / Stad Brussel);toilet (public network / Ville de Bruxelles);24/24;PMR;PBM;PRM;Gratuit;Gratis;Free;;;;;;1000;Bruxelles;Brussel;Pentagone;Vijfhoek;toilette PMR (réseau public) / PBM toilet (openbaar netwerk) / PRM toilet (public network);Pentagone -  - 1000 Bruxelles;Vijfhoek -  - 1000 Brussel;https://www.google.com/maps/search/?api=1&query=50.84385135675664%2C4.343896587033905;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84385135675664%2C4.343896587033905;50.8438513559, 4.3438965885;"{""coordinates"": [4.3438965885, 50.8438513559], ""type"": ""Point""}"
1292;Existant;Bestaand;Existing;STIB;MIVB;STIB;réseau public;openbaar netwerk;public network;toilette publique;openbaar toilet;public toilet;toilette;toilet;toilet;toilette (réseau public / STIB);toilet (openbaar netwerk / MIVB);toilet (public network / STIB);24/24;non PMR;niet PBM;not PRM;Payant;Betalend;Paying;arrêt de bus STIB / bushalte MIVB;arrêt de bus STIB / bushalte MIVB;arrêt de bus STIB / bushalte MIVB;;;1130;Bruxelles;Brussel;Haren;Haren;toilette non PMR (réseau public) / niet PBM toilet (openbaar netwerk) / not PRM toilet (public network);Haren -  - 1130 Bruxelles;Haren -  - 1130 Brussel;https://www.google.com/maps/search/?api=1&query=50.88642832662088%2C4.429729321914903;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.88642832662088%2C4.429729321914903;50.8864283293, 4.4297293276;"{""coordinates"": [4.4297293276, 50.8864283293], ""type"": ""Point""}"
974;Existant;Bestaand;Existing;SNCB;NMBS;SNCB;réseau public;openbaar netwerk;public network;toilette publique;openbaar toilet;public toilet;toilette;toilet;toilet;toilette (réseau public / SNCB);toilet (openbaar netwerk / NMBS);toilet (public network / SNCB);07:00-20:00;PMR;PBM;PRM;Payant;Betalend;Paying;Gare Centrale / Centraal Station;Gare Centrale / Centraal Station;Gare Centrale / Centraal Station;;;1000;Bruxelles;Brussel;Pentagone;Vijfhoek;toilette PMR (réseau public) / PBM toilet (openbaar netwerk) / PRM toilet (public network);Pentagone -  - 1000 Bruxelles;Vijfhoek -  - 1000 Brussel;https://www.google.com/maps/search/?api=1&query=50.845439083270485%2C4.357337029462011;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.845439083270485%2C4.357337029462011;50.8454390833, 4.3573370238;"{""coordinates"": [4.3573370238, 50.8454390833], ""type"": ""Point""}"
5766;Existant;Bestaand;Existing;gestionnaire privé;privé beheerder;private manager;"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";toilette;toilet;toilet;"toilette (réseau ""toilettes accueillantes"" / gestionnaire privé)";"toilet (""gastvrije toiletten"" netwerk / privé beheerder)";"toilet (""accessible toilets"" network / private manager)";Ma-Ve: 16-23 Sa:12-23, Di: 12-2130;PMR;PBM;PRM;Gratuit;Gratis;Free;Zennebar;Zennebar;Zennebar;;;1000;Bruxelles;Brussel;Nord;Noord;"toilette PMR (réseau ""toilettes accueillantes"") / PBM toilet (""gastvrije toiletten"" netwerk) / PRM toilet (""accessible toilets"" network)";Nord -  - 1000 Bruxelles;Noord -  - 1000 Brussel;https://www.google.com/maps/search/?api=1&query=50.86771304612793%2C4.34884704570337;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.86771304612793%2C4.34884704570337;50.8677130479, 4.3488470457;"{""coordinates"": [4.3488470457, 50.8677130479], ""type"": ""Point""}"
1617;Existant;Bestaand;Existing;gestionnaire privé;privé beheerder;private manager;"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";toilette;toilet;toilet;"toilette (réseau ""toilettes accueillantes"" / gestionnaire privé)";"toilet (""gastvrije toiletten"" netwerk / privé beheerder)";"toilet (""accessible toilets"" network / private manager)";10:00 - 22:00;non PMR;niet PBM;not PRM;Gratuit;Gratis;Free;Pitta d'Or;Pitta d'Or;Pitta d'Or;;;1120;Bruxelles;Brussel;Neder-Over-Heembeek/Mutsaard;Neder-Over-Heembeek/Mutsaard;"toilette non PMR (réseau ""toilettes accueillantes"") / niet PBM toilet (""gastvrije toiletten"" netwerk) / not PRM toilet (""accessible toilets"" network)";Neder-Over-Heembeek/Mutsaard -  - 1120 Bruxelles;Neder-Over-Heembeek/Mutsaard -  - 1120 Brussel;https://www.google.com/maps/search/?api=1&query=50.894050097755915%2C4.382597327498707;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.894050097755915%2C4.382597327498707;50.8940500942, 4.3825973261;"{""coordinates"": [4.3825973261, 50.8940500942], ""type"": ""Point""}"
1929;Existant;Bestaand;Existing;gestionnaire privé;privé beheerder;private manager;"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";toilette;toilet;toilet;"toilette (réseau ""toilettes accueillantes"" / gestionnaire privé)";"toilet (""gastvrije toiletten"" netwerk / privé beheerder)";"toilet (""accessible toilets"" network / private manager)";08:00 - 01:00;non PMR;niet PBM;not PRM;Gratuit;Gratis;Free;Volle Brol;Volle Brol;Volle Brol;;;1000;Bruxelles;Brussel;Pentagone;Vijfhoek;"toilette non PMR (réseau ""toilettes accueillantes"") / niet PBM toilet (""gastvrije toiletten"" netwerk) / not PRM toilet (""accessible toilets"" network)";Pentagone -  - 1000 Bruxelles;Vijfhoek -  - 1000 Brussel;https://www.google.com/maps/search/?api=1&query=50.83708397145308%2C4.345221714420354;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.83708397145308%2C4.345221714420354;50.8370839679, 4.3452217102;"{""coordinates"": [4.3452217102, 50.8370839679], ""type"": ""Point""}"
1931;Existant;Bestaand;Existing;gestionnaire privé;privé beheerder;private manager;"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";toilette;toilet;toilet;"toilette (réseau ""toilettes accueillantes"" / gestionnaire privé)";"toilet (""gastvrije toiletten"" netwerk / privé beheerder)";"toilet (""accessible toilets"" network / private manager)";12:00 - 23:30;non PMR;niet PBM;not PRM;Gratuit;Gratis;Free;Café des Minimes;Café des Minimes;Café des Minimes;;;1000;Bruxelles;Brussel;Pentagone;Vijfhoek;"toilette non PMR (réseau ""toilettes accueillantes"") / niet PBM toilet (""gastvrije toiletten"" netwerk) / not PRM toilet (""accessible toilets"" network)";Pentagone -  - 1000 Bruxelles;Vijfhoek -  - 1000 Brussel;https://www.google.com/maps/search/?api=1&query=50.83931631423634%2C4.352846009797093;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.83931631423634%2C4.352846009797093;50.839316316, 4.3528460112;"{""coordinates"": [4.3528460112, 50.839316316], ""type"": ""Point""}"
1932;Existant;Bestaand;Existing;gestionnaire privé;privé beheerder;private manager;"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";toilette;toilet;toilet;"toilette (réseau ""toilettes accueillantes"" / gestionnaire privé)";"toilet (""gastvrije toiletten"" netwerk / privé beheerder)";"toilet (""accessible toilets"" network / private manager)";14:30 - 20:00;non PMR;niet PBM;not PRM;Gratuit;Gratis;Free;Pizzeria Fantastico;Pizzeria Fantastico;Pizzeria Fantastico;;;1000;Bruxelles;Brussel;Pentagone;Vijfhoek;"toilette non PMR (réseau ""toilettes accueillantes"") / niet PBM toilet (""gastvrije toiletten"" netwerk) / not PRM toilet (""accessible toilets"" network)";Pentagone -  - 1000 Bruxelles;Vijfhoek -  - 1000 Brussel;https://www.google.com/maps/search/?api=1&query=50.84898079437551%2C4.365454886660213;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84898079437551%2C4.365454886660213;50.848980798, 4.365454881;"{""coordinates"": [4.365454881, 50.848980798], ""type"": ""Point""}"
2244;Existant;Bestaand;Existing;gestionnaire privé;privé beheerder;private manager;"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";toilette;toilet;toilet;"toilette (réseau ""toilettes accueillantes"" / gestionnaire privé)";"toilet (""gastvrije toiletten"" netwerk / privé beheerder)";"toilet (""accessible toilets"" network / private manager)";11:00 - 23:00;non PMR;niet PBM;not PRM;Gratuit;Gratis;Free;Barbeton;Barbeton;Barbeton;;;1000;Bruxelles;Brussel;Pentagone;Vijfhoek;"toilette non PMR (réseau ""toilettes accueillantes"") / niet PBM toilet (""gastvrije toiletten"" netwerk) / not PRM toilet (""accessible toilets"" network)";Pentagone -  - 1000 Bruxelles;Vijfhoek -  - 1000 Brussel;https://www.google.com/maps/search/?api=1&query=50.85190260103169%2C4.343739797773964;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.85190260103169%2C4.343739797773964;50.8519025965, 4.3437397921;"{""coordinates"": [4.3437397921, 50.8519025965], ""type"": ""Point""}"
2265;Existant;Bestaand;Existing;gestionnaire privé;privé beheerder;private manager;"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";toilette;toilet;toilet;"toilette (réseau ""toilettes accueillantes"" / gestionnaire privé)";"toilet (""gastvrije toiletten"" netwerk / privé beheerder)";"toilet (""accessible toilets"" network / private manager)";14:00-18:00;PMR;PBM;PRM;Payant;Betalend;Paying;Kiosk Radio bar;Kiosk Radio bar;Kiosk Radio bar;;;1000;Bruxelles;Brussel;Pentagone;Vijfhoek;"toilette PMR (réseau ""toilettes accueillantes"") / PBM toilet (""gastvrije toiletten"" netwerk) / PRM toilet (""accessible toilets"" network)";Pentagone -  - 1000 Bruxelles;Vijfhoek -  - 1000 Brussel;https://www.google.com/maps/search/?api=1&query=50.843452855219596%2C4.362636154768055;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.843452855219596%2C4.362636154768055;50.8434528534, 4.3626361576;"{""coordinates"": [4.3626361576, 50.8434528534], ""type"": ""Point""}"
2267;Existant;Bestaand;Existing;gestionnaire privé;privé beheerder;private manager;"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";toilette;toilet;toilet;"toilette (réseau ""toilettes accueillantes"" / gestionnaire privé)";"toilet (""gastvrije toiletten"" netwerk / privé beheerder)";"toilet (""accessible toilets"" network / private manager)";08:00-19:00;PMR;PBM;PRM;Gratuit;Gratis;Free;Shopping center City 2 (niveau +2);Shopping center City 2 (niveau +2);Shopping center City 2 (niveau +2);;;1000;Bruxelles;Brussel;Pentagone;Vijfhoek;"toilette PMR (réseau ""toilettes accueillantes"") / PBM toilet (""gastvrije toiletten"" netwerk) / PRM toilet (""accessible toilets"" network)";Pentagone -  - 1000 Bruxelles;Vijfhoek -  - 1000 Brussel;https://www.google.com/maps/search/?api=1&query=50.8548215490761%2C4.3583850634115855;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.8548215490761%2C4.3583850634115855;50.8548215491, 4.3583850634;"{""coordinates"": [4.3583850634, 50.8548215491], ""type"": ""Point""}"
3202;Existant;Bestaand;Existing;gestionnaire privé;privé beheerder;private manager;"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";toilette;toilet;toilet;"toilette (réseau ""toilettes accueillantes"" / gestionnaire privé)";"toilet (""gastvrije toiletten"" netwerk / privé beheerder)";"toilet (""accessible toilets"" network / private manager)";08:00-19:00;PMR;PBM;PRM;Gratuit;Gratis;Free;Shopping center City 2 (niveau -1);Shopping center City 2 (niveau -1);Shopping center City 2 (niveau -1);;;1000;Bruxelles;Brussel;Pentagone;Vijfhoek;"toilette PMR (réseau ""toilettes accueillantes"") / PBM toilet (""gastvrije toiletten"" netwerk) / PRM toilet (""accessible toilets"" network)";Pentagone -  - 1000 Bruxelles;Vijfhoek -  - 1000 Brussel;https://www.google.com/maps/search/?api=1&query=50.8548215490761%2C4.3583850634115855;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.8548215490761%2C4.3583850634115855;50.8548215491, 4.3583850634;"{""coordinates"": [4.3583850634, 50.8548215491], ""type"": ""Point""}"
7053;Existant;Bestaand;Existing;gestionnaire privé;privé beheerder;private manager;"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";toilette;toilet;toilet;"toilette (réseau ""toilettes accueillantes"" / gestionnaire privé)";"toilet (""gastvrije toiletten"" netwerk / privé beheerder)";"toilet (""accessible toilets"" network / private manager)";lu-ma:12-18 me-ve:10-18 sa:9-15;PMR;PBM;PRM;Gratuit;Gratis;Free;Bibliothèque des Riches Claires;Bibliothèque des Riches Claires;Bibliothèque des Riches Claires;;;1000;Bruxelles;Brussel;Pentagone;Vijfhoek;"toilette PMR (réseau ""toilettes accueillantes"") / PBM toilet (""gastvrije toiletten"" netwerk) / PRM toilet (""accessible toilets"" network)";Pentagone -  - 1000 Bruxelles;Vijfhoek -  - 1000 Brussel;https://www.google.com/maps/search/?api=1&query=50.84690439175628%2C4.346360074594997;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84690439175628%2C4.346360074594997;50.8469043945, 4.3463600746;"{""coordinates"": [4.3463600746, 50.8469043945], ""type"": ""Point""}"
3209;Existant;Bestaand;Existing;gestionnaire privé;privé beheerder;private manager;"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";toilette;toilet;toilet;"toilette (réseau ""toilettes accueillantes"" / gestionnaire privé)";"toilet (""gastvrije toiletten"" netwerk / privé beheerder)";"toilet (""accessible toilets"" network / private manager)";?;non PMR;niet PBM;not PRM;Gratuit;Gratis;Free;Chez François;Chez François;Chez François;;;1000;Bruxelles;Brussel;Pentagone;Vijfhoek;"toilette non PMR (réseau ""toilettes accueillantes"") / niet PBM toilet (""gastvrije toiletten"" netwerk) / not PRM toilet (""accessible toilets"" network)";Pentagone -  - 1000 Bruxelles;Vijfhoek -  - 1000 Brussel;https://www.google.com/maps/search/?api=1&query=50.85105241989564%2C4.348230158459349;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.85105241989564%2C4.348230158459349;50.8510524199, 4.3482301528;"{""coordinates"": [4.3482301528, 50.8510524199], ""type"": ""Point""}"
2562;Existant;Bestaand;Existing;gestionnaire privé;privé beheerder;private manager;"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";toilette;toilet;toilet;"toilette (réseau ""toilettes accueillantes"" / gestionnaire privé)";"toilet (""gastvrije toiletten"" netwerk / privé beheerder)";"toilet (""accessible toilets"" network / private manager)";?;non PMR;niet PBM;not PRM;Gratuit;Gratis;Free;Café Nico's;Café Nico's;Café Nico's;;;1000;Bruxelles;Brussel;Nord-Est;Noord-Oost;"toilette non PMR (réseau ""toilettes accueillantes"") / niet PBM toilet (""gastvrije toiletten"" netwerk) / not PRM toilet (""accessible toilets"" network)";Nord-Est -  - 1000 Bruxelles;Noord-Oost -  - 1000 Brussel;https://www.google.com/maps/search/?api=1&query=50.84892274861616%2C4.38069177086109;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84892274861616%2C4.38069177086109;50.8489227459, 4.3806917765;"{""coordinates"": [4.3806917765, 50.8489227459], ""type"": ""Point""}"
4802;Existant;Bestaand;Existing;gestionnaire privé;privé beheerder;private manager;"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";toilette;toilet;toilet;"toilette (réseau ""toilettes accueillantes"" / gestionnaire privé)";"toilet (""gastvrije toiletten"" netwerk / privé beheerder)";"toilet (""accessible toilets"" network / private manager)";Ma-di/di-zo 900-2200;PMR;PBM;PRM;Payant;Betalend;Paying;Beurs / Bourse;Beurs / Bourse;Beurs / Bourse;;;1000;Bruxelles;Brussel;Pentagone;Vijfhoek;"toilette PMR (réseau ""toilettes accueillantes"") / PBM toilet (""gastvrije toiletten"" netwerk) / PRM toilet (""accessible toilets"" network)";Pentagone -  - 1000 Bruxelles;Vijfhoek -  - 1000 Brussel;https://www.google.com/maps/search/?api=1&query=50.848033877276556%2C4.3501798370195;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.848033877276556%2C4.3501798370195;50.8480338728, 4.3501798342;"{""coordinates"": [4.3501798342, 50.8480338728], ""type"": ""Point""}"
3522;Existant;Bestaand;Existing;gestionnaire privé;privé beheerder;private manager;"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";toilette;toilet;toilet;"toilette (réseau ""toilettes accueillantes"" / gestionnaire privé)";"toilet (""gastvrije toiletten"" netwerk / privé beheerder)";"toilet (""accessible toilets"" network / private manager)";?;non PMR;niet PBM;not PRM;Gratuit;Gratis;Free;Centre Pôle Nord;Centre Pôle Nord;Centre Pôle Nord;;;1000;Bruxelles;Brussel;Nord;Noord;"toilette non PMR (réseau ""toilettes accueillantes"") / niet PBM toilet (""gastvrije toiletten"" netwerk) / not PRM toilet (""accessible toilets"" network)";Nord -  - 1000 Bruxelles;Noord -  - 1000 Brussel;https://www.google.com/maps/search/?api=1&query=50.86493076190194%2C4.357668671177302;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.86493076190194%2C4.357668671177302;50.8649307592, 4.3576686754;"{""coordinates"": [4.3576686754, 50.8649307592], ""type"": ""Point""}"
3523;Existant;Bestaand;Existing;gestionnaire privé;privé beheerder;private manager;"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";toilette;toilet;toilet;"toilette (réseau ""toilettes accueillantes"" / gestionnaire privé)";"toilet (""gastvrije toiletten"" netwerk / privé beheerder)";"toilet (""accessible toilets"" network / private manager)";?;non PMR;niet PBM;not PRM;Gratuit;Gratis;Free;Bibliothèque Mutsaard;Bibliothèque Mutsaard;Bibliothèque Mutsaard;;;1020;Bruxelles;Brussel;Neder-Over-Heembeek/Mutsaard;Neder-Over-Heembeek/Mutsaard;"toilette non PMR (réseau ""toilettes accueillantes"") / niet PBM toilet (""gastvrije toiletten"" netwerk) / not PRM toilet (""accessible toilets"" network)";Neder-Over-Heembeek/Mutsaard -  - 1020 Bruxelles;Neder-Over-Heembeek/Mutsaard -  - 1020 Brussel;https://www.google.com/maps/search/?api=1&query=50.89914738101043%2C4.358529272734613;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.89914738101043%2C4.358529272734613;50.8991473801, 4.358529267;"{""coordinates"": [4.358529267, 50.8991473801], ""type"": ""Point""}"
4485;Existant;Bestaand;Existing;gestionnaire privé;privé beheerder;private manager;"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";toilette;toilet;toilet;"toilette (réseau ""toilettes accueillantes"" / gestionnaire privé)";"toilet (""gastvrije toiletten"" netwerk / privé beheerder)";"toilet (""accessible toilets"" network / private manager)";fermé le mardi : les autres jour de 10 à 17;non PMR;niet PBM;not PRM;Gratuit;Gratis;Free;Taylor' Café;Taylor' Café;Taylor' Café;;;1000;Bruxelles;Brussel;Pentagone;Vijfhoek;"toilette non PMR (réseau ""toilettes accueillantes"") / niet PBM toilet (""gastvrije toiletten"" netwerk) / not PRM toilet (""accessible toilets"" network)";Pentagone -  - 1000 Bruxelles;Vijfhoek -  - 1000 Brussel;https://www.google.com/maps/search/?api=1&query=50.837016163888286%2C4.348828005914026;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.837016163888286%2C4.348828005914026;50.8370161621, 4.3488279988;"{""coordinates"": [4.3488279988, 50.8370161621], ""type"": ""Point""}"
5445;Existant;Bestaand;Existing;gestionnaire privé;privé beheerder;private manager;"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";toilette;toilet;toilet;"toilette (réseau ""toilettes accueillantes"" / gestionnaire privé)";"toilet (""gastvrije toiletten"" netwerk / privé beheerder)";"toilet (""accessible toilets"" network / private manager)";lu-di:1100 - 2230;non PMR;niet PBM;not PRM;Gratuit;Gratis;Free;L'OMMEGANG;L'OMMEGANG;L'OMMEGANG;;;1000;Bruxelles;Brussel;Pentagone;Vijfhoek;"toilette non PMR (réseau ""toilettes accueillantes"") / niet PBM toilet (""gastvrije toiletten"" netwerk) / not PRM toilet (""accessible toilets"" network)";Pentagone -  - 1000 Bruxelles;Vijfhoek -  - 1000 Brussel;https://www.google.com/maps/search/?api=1&query=50.846908949372235%2C4.354552119546728;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.846908949372235%2C4.354552119546728;50.8469089521, 4.354552121;"{""coordinates"": [4.354552121, 50.8469089521], ""type"": ""Point""}"
